"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2012","Tervishoid ja sotsiaalhoolekanne",0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.2,1.3,1.3,0.0,0.7,2.0,0.0,0.0,0.0,2.1,1.0,1.2,0.0,0.0,0.0,0.0,..,0.0,0.0,106,141
"2012","Kunst, meelelahutus ja vaba aeg",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5,0.0,0.0,0.0,0.4,0.5,0.6,0.0,0.0,0.0,0.0,..,0.0,0.0,64,72
"2012","Muud teenindavad tegevused",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,3.3,0.1,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,..,0.0,0.0,42,29
"2012","Kodumajapidamine",8.8,0.0,0.0,0.0,0.0,10.5,2166.0,..,..,..,..,17.2,68.3,3.0,0.0,0.0,59.6,55.0,191.4,0.0,0.0,0.0,0.0,..,0.0,0.0,1956,3953
"2013","Tegevusalad kokku",61.4,5.2,20486.6,219.1,22.6,12.3,4294.9,1614.6,2680.3,1596.7,1083.6,43.4,677.8,12.5,0.9,50.3,661.0,595.0,234.1,28.2,1108.1,17.5,189.1,275.2,48.0,2.6,8785,8099
"2013","Põllumajandus",0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,2.0,1.8,0.2,0.2,10.1,0.8,0.0,1.4,83.3,63.8,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.5,188,107
"2013","Metsamajandus",0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,18.4,15.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10,5
"2013","Kalapüük",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
"2013","Põlevkivi kaevandamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.1,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,234,32
"2013","Turba tootmine ja muu kaevandamine",0.0,0.0,0.0,100.9,10.6,0.0,6.9,0.3,6.6,0.0,6.6,0.7,8.2,0.0,0.0,0.0,10.7,10.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,24,29
"2013","Toiduainete tootmine, joogitootmine",0.3,0.0,0.0,0.0,2.9,0.0,2.9,0.4,2.5,0.5,2.0,0.0,23.8,0.5,0.0,5.4,9.4,4.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,320
